bpm,source,timestamp
78,awake,2023-10-11T14:43:40+00:00
82,awake,2023-10-11T14:53:19+00:00
88,awake,2023-10-11T14:53:25+00:00
91,awake,2023-10-11T14:53:36+00:00
124,awake,2023-10-11T15:09:53+00:00
113,awake,2023-10-11T15:10:17+00:00
100,awake,2023-10-11T15:10:37+00:00
135,awake,2023-10-11T15:21:55+00:00
130,awake,2023-10-11T15:21:56+00:00
127,awake,2023-10-11T15:21:57+00:00
92,awake,2023-10-11T15:24:56+00:00
97,awake,2023-10-11T15:25:06+00:00
87,awake,2023-10-11T15:25:26+00:00
135,awake,2023-10-11T15:38:08+00:00
139,awake,2023-10-11T15:38:10+00:00
132,awake,2023-10-11T15:40:18+00:00
140,awake,2023-10-11T15:40:19+00:00
147,awake,2023-10-11T15:42:35+00:00
144,awake,2023-10-11T15:42:49+00:00
146,awake,2023-10-11T15:42:53+00:00
100,awake,2023-10-11T15:46:12+00:00
92,awake,2023-10-11T15:46:25+00:00
94,awake,2023-10-11T15:46:33+00:00
93,awake,2023-10-11T15:48:46+00:00
87,awake,2023-10-11T15:48:54+00:00
83,awake,2023-10-11T15:49:00+00:00
79,awake,2023-10-11T15:56:21+00:00
70,awake,2023-10-11T15:56:39+00:00
73,awake,2023-10-11T15:56:53+00:00
74,awake,2023-10-11T16:13:01+00:00
70,awake,2023-10-11T16:13:32+00:00
77,awake,2023-10-11T16:13:57+00:00
78,awake,2023-10-11T16:32:41+00:00
85,awake,2023-10-11T16:32:57+00:00
88,awake,2023-10-11T16:33:18+00:00
86,awake,2023-10-11T16:52:16+00:00
93,awake,2023-10-11T16:52:36+00:00
77,awake,2023-10-11T16:53:15+00:00
88,awake,2023-10-11T17:02:00+00:00
96,awake,2023-10-11T17:02:06+00:00
87,awake,2023-10-11T17:02:08+00:00
97,awake,2023-10-11T17:04:42+00:00
93,awake,2023-10-11T17:05:22+00:00
90,awake,2023-10-11T17:05:24+00:00
91,awake,2023-10-11T17:07:30+00:00
96,awake,2023-10-11T17:07:46+00:00
87,awake,2023-10-11T17:08:17+00:00
92,awake,2023-10-11T17:12:05+00:00
94,awake,2023-10-11T17:12:06+00:00
100,awake,2023-10-11T17:12:47+00:00
96,awake,2023-10-11T17:15:19+00:00
99,awake,2023-10-11T17:15:37+00:00
93,awake,2023-10-11T17:15:56+00:00
96,awake,2023-10-11T17:19:44+00:00
91,awake,2023-10-11T17:19:45+00:00
98,awake,2023-10-11T17:19:52+00:00
102,awake,2023-10-11T17:23:08+00:00
99,awake,2023-10-11T17:23:14+00:00
94,awake,2023-10-11T17:23:37+00:00
97,awake,2023-10-11T17:28:41+00:00
92,awake,2023-10-11T17:28:48+00:00
88,awake,2023-10-11T17:29:43+00:00
87,awake,2023-10-11T17:38:15+00:00
99,awake,2023-10-11T17:38:17+00:00
94,awake,2023-10-11T17:38:19+00:00
95,awake,2023-10-11T17:41:01+00:00
90,awake,2023-10-11T17:41:02+00:00
86,awake,2023-10-11T17:41:31+00:00
83,awake,2023-10-11T17:43:38+00:00
87,awake,2023-10-11T17:43:58+00:00
90,awake,2023-10-11T17:44:06+00:00
87,awake,2023-10-11T17:49:40+00:00
83,awake,2023-10-11T17:49:49+00:00
91,awake,2023-10-11T17:50:57+00:00
86,awake,2023-10-11T17:55:30+00:00
88,awake,2023-10-11T17:55:58+00:00
91,awake,2023-10-11T17:56:32+00:00
93,awake,2023-10-11T18:00:13+00:00
99,awake,2023-10-11T18:00:17+00:00
96,awake,2023-10-11T18:00:18+00:00
90,awake,2023-10-11T18:07:23+00:00
91,awake,2023-10-11T18:07:27+00:00
93,awake,2023-10-11T18:08:02+00:00
92,awake,2023-10-11T18:10:03+00:00
98,awake,2023-10-11T18:10:21+00:00
88,awake,2023-10-11T18:10:29+00:00
92,awake,2023-10-11T18:19:54+00:00
90,awake,2023-10-11T18:20:20+00:00
89,awake,2023-10-11T18:20:26+00:00
94,awake,2023-10-11T18:30:25+00:00
81,awake,2023-10-11T18:30:28+00:00
80,awake,2023-10-11T18:30:29+00:00
77,awake,2023-10-11T18:39:53+00:00
72,awake,2023-10-11T18:39:55+00:00
88,awake,2023-10-11T18:40:24+00:00
84,awake,2023-10-11T18:50:38+00:00
86,awake,2023-10-11T18:51:07+00:00
89,awake,2023-10-11T18:51:20+00:00
89,awake,2023-10-11T19:01:00+00:00
86,awake,2023-10-11T19:01:40+00:00
93,awake,2023-10-11T19:01:42+00:00
103,awake,2023-10-11T19:09:55+00:00
109,awake,2023-10-11T19:10:44+00:00
100,awake,2023-10-11T19:10:45+00:00
103,awake,2023-10-11T19:33:03+00:00
106,awake,2023-10-11T19:33:05+00:00
104,awake,2023-10-11T19:33:11+00:00
116,awake,2023-10-11T19:35:46+00:00
103,awake,2023-10-11T19:36:03+00:00
107,awake,2023-10-11T19:37:12+00:00
99,awake,2023-10-11T19:41:25+00:00
86,awake,2023-10-11T19:41:26+00:00
91,awake,2023-10-11T19:41:30+00:00
107,awake,2023-10-11T19:43:10+00:00
98,awake,2023-10-11T19:43:29+00:00
102,awake,2023-10-11T19:43:32+00:00
87,awake,2023-10-11T19:48:19+00:00
90,awake,2023-10-11T19:48:26+00:00
84,awake,2023-10-11T19:49:45+00:00
85,awake,2023-10-11T19:53:33+00:00
91,awake,2023-10-11T19:53:56+00:00
88,awake,2023-10-11T19:54:45+00:00
77,awake,2023-10-11T19:58:49+00:00
82,awake,2023-10-11T19:59:07+00:00
85,awake,2023-10-11T19:59:40+00:00
83,awake,2023-10-11T20:03:55+00:00
78,awake,2023-10-11T20:04:40+00:00
80,awake,2023-10-11T20:05:16+00:00
82,awake,2023-10-11T20:09:45+00:00
79,awake,2023-10-11T20:10:13+00:00
77,awake,2023-10-11T20:10:18+00:00
74,awake,2023-10-11T20:15:42+00:00
81,awake,2023-10-11T20:15:58+00:00
78,awake,2023-10-11T20:16:05+00:00
70,awake,2023-10-11T20:20:52+00:00
75,awake,2023-10-11T20:21:16+00:00
80,awake,2023-10-11T20:21:50+00:00
83,awake,2023-10-11T20:25:44+00:00
75,awake,2023-10-11T20:26:14+00:00
78,awake,2023-10-11T20:27:11+00:00
82,awake,2023-10-11T20:31:19+00:00
79,awake,2023-10-11T20:31:29+00:00
77,awake,2023-10-11T20:31:59+00:00
74,awake,2023-10-11T20:36:15+00:00
79,awake,2023-10-11T20:36:54+00:00
77,awake,2023-10-11T20:36:55+00:00
